"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"HALLMARK_ADIPOGENESIS",0.00775193798449612,0.0208333333333333,-0.46707485186007,-2.19251841278762,0,198,"HSPB8,MYLK,LIFR,CAVIN2,CYP4B1,CD36,GPX3,SULT1A1,SPARCL1,ACADS,SORBS1,PDCD4,OMD,ITIH5,RETSAT,ITGA7,CMBL,SNCG,ACOX1,ACAA2,TST,RIOK3,MGLL,SSPN,FABP4,EPHX2,PGM1,ENPP2,SQOR,ACADM,ADIPOQ,CAVIN1,CPT2,ANGPT1,LPCAT3,CIDEA,SCP2,MTARC2,LEP,ACADL,PHYH,ACO2,STOM,CRAT,CCNG2,RNF11,CD302,CAT,PTGER3,HADH,ELOVL6,MIGA2,MGST3,ADCY6,IDH3A,ATP1B3,LTC4S,FZD4,APLP2,GHITM,SUCLG1,PPARG,DECR1,ITSN1,ABCA1,HIBCH,CHCHD10,PHLDB1,ARL4A,GPD2,ECH1,RAB34,CDKN2C,NDUFA5,C3,SDHB,ECHS1,ESRRA,SOWAHC,RREB1,AGPAT3,BCL2L13,IFNGR1,DHRS7,DLD,DBT,COQ9"
"HALLMARK_ALLOGRAFT_REJECTION",0.0075187969924812,0.0208333333333333,-0.325210742805142,-1.51274913910998,0,196,"ELANE,CCL13,CARTPT,CD79A,IRF4,PRKCB,KRT1,CCL19,FLNA,CCR2,TLR3,IL16,CD1D,HDAC9,APBB1,CXCL13,STAB1,GZMA,CCL11,CCL5,MAP4K1,CD96,CD40LG,LY86,CTSS,FAS,TRAT1,HCLS1,CFP,ITGAL,B2M,CD8A,CD3E,WAS,CSF1,CD3G,LTB,CD4,CD247,IL10,CD7,PTPRC,FCGR2B,ACHE,ST8SIA4,CD28,GBP2,FASLG,IL18,EGFR,IL2RB,BCL10,TLR1,CD3D,HLA-DOB,FYB1,NCR1,IL18RAP,TLR6,CD8B,ITK,ELF4,IL4R,HLA-DQA1,CCR5,HLA-DMB,STAT4,CD2,HLA-G,SIT1,ETS1,NCK1,NCF4,HLA-E,ACVR2A,CCL2,HLA-DOA,EIF4G3,SPI1,IL15,HLA-DRA"
"HALLMARK_ANDROGEN_RESPONSE",0.00367647058823529,0.0208333333333333,-0.35446954237889,-1.50463092040411,1,100,"SLC26A2,LIFR,SELENOP,HPGD,SGK1,PLPP1,ADAMTS1,MAF,IQGAP2,AKAP12,GPD1L,PTPN21,TMPRSS2,NDRG1,PTK2B,FKBP5,B2M,GUCY1A1,NCOA4,ZMIZ1,SPDEF,VAPA,UAP1,KLK3,STEAP4,KRT19,B4GALT1,HOMER2,KRT8,TMEM50A,HSD17B14,UBE2J1"
"HALLMARK_ANGIOGENESIS",0.0273432835820896,0.0569651741293532,0.556486294587056,1.48607687706305,228,35,"SPP1,OLR1,MSX1,CXCL6,STC1,TIMP1,JAG2,PF4,COL5A2,VCAN,VEGFA,POSTN,COL3A1"
"HALLMARK_APICAL_JUNCTION",0.0393700787401575,0.0757116898849182,-0.255883403484194,-1.2019099703422,4,199,"CLDN8,CADM3,ACTG2,CADM2,FLNC,MYL9,NEGR1,SPEG,CNTN1,MADCAM1,CD209,CLDN11,NEXN,NRAP,CLDN5,CALB2,SLIT2,JAM3,SGCE,ADRA1B,LIMA1,GNAI1,NFASC,NHERF4,NLGN3,ARHGEF6,COL17A1,WASL,NRXN2,CLDN19,VCL,CRAT,CLDN7,NECTIN3,PALS1,PTPRC,HADH,RHOF,ADAM23,AKT3,EGFR,FYB1,SORBS3,PARVA,CD34,EVL,VCAM1,PCDH1,ACTC1,SKAP2,KCNH2,B4GALT1,CTNND1,PECAM1,LDLRAP1,CAP1,LAMA3,PTEN,VWF,GAMT,LAYN,MYL12B,ITGA3,RSU1,DSC1,MSN,VASP,RAC2,ACTN3,TSPAN4,MYH9,CTNNA1,CDH1,ACTN2,PARD6G,TJP1"
"HALLMARK_APICAL_SURFACE",0.233238231098431,0.388730385164051,-0.308866691571958,-1.12817582245754,326,44,"MAL,SLC2A4,SRPX,SCUBE1,CD160,NTNG1,ATP8B1,EFNA5,MDGA1,AKAP7,SLC34A3,IL2RB,CRYBG1,GSTM3,B4GALT1,GAS1"
"HALLMARK_APOPTOSIS",0.020746887966805,0.047152018106375,-0.273876819129532,-1.23372617668659,4,159,"GPX3,CLU,PDCD4,RETSAT,BMP2,CAV1,GSN,NEFH,CASP7,EMP1,IGFBP6,HMOX1,DCN,SLC20A1,TNFSF10,TXNIP,DPYD,FEZ1,CCNA1,RNASEL,BMF,LGALS3,TGFBR3,CDKN1A,FAS,GSTM1,BCL2L11,SMAD7,NEDD9,BCL2L10,CD38,CD69,CD14,BCL2L2,AIFM3,ADD1,FASLG,IL18,BCL10,ISG20,PSEN1"
"HALLMARK_BILE_ACID_METABOLISM",0.00214592274678112,0.0208333333333333,-0.464096664315644,-2.00993998658693,0,111,"APOA1,ABCA8,RXRG,NR1H4,SLC23A1,NR3C2,SULT1B1,ABCA9,ABCA6,RETSAT,BMP6,ABCG8,PEX26,ABCD2,CYP8B1,HSD3B1,AR,EPHX2,BCAR3,HSD17B6,CROT,PEX11A,SOAT2,HSD17B11,TFCP2L1,SCP2,ABCA5,PHYH,ABCD3,RXRA,ALDH1A1,CYP27A1,PECR,CAT,NUDT12,SLC27A2,OPTN"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.998910438003922,1,0.170209980291105,0.501673345895725,9167,74,"TRIB3,TNFRSF12A,SCD,S100A11,FADS2,SQLE,TMEM97,FASN,DHCR7,CBS,TM7SF2,NSDHL,HSD17B7,ALDOC,ALCAM,CXCL16"
"HALLMARK_COAGULATION",0.232495604509256,0.388730385164051,0.364074166005983,1.13338605451467,2247,134,"KLK8,MMP7,COMP,MMP8,MMP3,SERPINB2,MMP1,MMP11,OLR1,F2,CPN1,SERPINE1,MMP10,HPN,PLAU,TFPI2,TIMP1,DCT,FGA,F12,PF4,CPB2,DUSP14,C2,MST1,F2RL2,CTSV,APOC1,SPARC,CFB,S100A1,ITGA2,PROZ,MMP9,C9,FGG"
