"pathway","pval","padj","log2err","ES","NES","size"
"KEGG_ABC_TRANSPORTERS",0.000134010185641268,0.00237722416267988,0.518848077743792,-0.527000853807652,-1.97161648586707,44
"KEGG_ACUTE_MYELOID_LEUKEMIA",0.0393914423090819,0.122684797420652,0.321775918075361,-0.339617155460347,-1.33034854353497,57
"KEGG_ADHERENS_JUNCTION",0.0391173095098304,0.122684797420652,0.321775918075361,-0.318375266548841,-1.27432391698166,73
"KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY",4.0147802676897e-05,0.000963547264245528,0.557332238758646,-0.502147668707794,-1.9350547941366,65
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",0.639810426540284,0.821556598821077,0.115734447701689,-0.257184471518178,-0.907305630204463,32
"KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION",7.52997652979609e-05,0.00161696338113516,0.538434096309916,-0.578468266275355,-2.09656501462257,39
"KEGG_ALLOGRAFT_REJECTION",0.0209903955323758,0.0807932205397107,0.352487857583619,-0.446199480102192,-1.57412031177944,32
"KEGG_ALPHA_LINOLENIC_ACID_METABOLISM",0.768406961178046,0.911366395815821,0.0393561959521291,0.324616228876037,0.791476703022514,19
"KEGG_ALZHEIMERS_DISEASE",0.494238010101314,0.697747778966561,0.203508959461977,-0.227533104584461,-1.00684103250366,160
"KEGG_AMINOACYL_TRNA_BIOSYNTHESIS",0.253317249698432,0.46375856615709,0.0886261133285098,0.420483112393706,1.1664771610151,41
"KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM",0.409638554216867,0.630862797649727,0.169570644405628,-0.273942741808895,-1.01128366910571,43
"KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS",0.00250403419149489,0.0196470375024984,0.431707695803346,-0.44284881512928,-1.69858951645762,52
"KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",0.00398053714800581,0.0262007130230624,0.407017918923954,-0.390257803487708,-1.52509876579294,67
"KEGG_APOPTOSIS",0.00499453583588787,0.0308753124400341,0.407017918923954,-0.360417887484742,-1.4723975024614,84
"KEGG_ARACHIDONIC_ACID_METABOLISM",0.0103052541620277,0.0500540916441347,0.380730400722792,-0.390874142210046,-1.51543428586695,56
"KEGG_ARGININE_AND_PROLINE_METABOLISM",0.283687943262411,0.498899486426999,0.224966093540314,-0.281282561585431,-1.0850366887117,53
"KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC",0.0011348354697928,0.0103895300226514,0.45505986738723,-0.40192561734311,-1.5963483052297,72
"KEGG_ASCORBATE_AND_ALDARATE_METABOLISM",0.00190386168970389,0.0161828243624831,0.45505986738723,-0.603008799387344,-1.89433972704683,21
"KEGG_ASTHMA",0.00440811811079083,0.0281017529562916,0.407017918923954,-0.562511528135714,-1.82228040122681,23
"KEGG_AUTOIMMUNE_THYROID_DISEASE",0.300970873786408,0.515354859082656,0.178219874951973,-0.30447654627846,-1.07419715557979,33
"KEGG_AXON_GUIDANCE",1.65129434602269e-05,0.000518252379367121,0.575610261071129,-0.391077602825198,-1.70119682530474,128
"KEGG_BASAL_CELL_CARCINOMA",0.0835240274599542,0.20284406668846,0.163180127180689,0.452816787917042,1.31699825252302,54
"KEGG_BASAL_TRANSCRIPTION_FACTORS",0.97029702970297,1,0.0240035948793451,0.217623468386358,0.589017476201888,34
"KEGG_BASE_EXCISION_REPAIR",0.290201005025126,0.503838340639367,0.0833634065110386,0.424735256372385,1.14030232119762,33
"KEGG_BETA_ALANINE_METABOLISM",0.979002624671916,1,0.0266754763765933,0.215851597893575,0.538241669469509,22
"KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS",0.963254593175853,1,0.0275182928235944,0.237099092730818,0.591223844282416,22
"KEGG_BLADDER_CANCER",0.570909090909091,0.76622009569378,0.0484087618816951,0.343247794411335,0.952421294635997,42
"KEGG_BUTANOATE_METABOLISM",0.00420571305752409,0.0272369988487274,0.407017918923954,-0.497910913206298,-1.7566360799731,33
"KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",7.92064470591234e-06,0.000293783912728385,0.593325476396405,-0.491302122337351,-1.95906889373634,74
"KEGG_CALCIUM_SIGNALING_PATHWAY",1.34425775714134e-12,5.48457164913668e-10,0.910119734774459,-0.490459489471298,-2.15845693756402,173
"KEGG_CARDIAC_MUSCLE_CONTRACTION",0.32,0.532596768701048,0.252961123069611,-0.268721247205515,-1.06729377040314,72
"KEGG_CELL_ADHESION_MOLECULES_CAMS",1.54476075591396e-05,0.000518252379367121,0.575610261071129,-0.391555071726818,-1.70327382632385,128
"KEGG_CELL_CYCLE",0.140041493775934,0.296046266635134,0.115734447701689,0.388910531203577,1.21761250245649,124
"KEGG_CHEMOKINE_SIGNALING_PATHWAY",4.40934298391296e-05,0.000999451076353605,0.557332238758646,-0.33128122161747,-1.4884514291207,183
"KEGG_CHRONIC_MYELOID_LEUKEMIA",1,1,0.13880510939114,-0.145776077539591,-0.583481072968259,73
"KEGG_CITRATE_CYCLE_TCA_CYCLE",0.000547741327319705,0.00603995842017405,0.477270815362862,-0.583867775125119,-2.003251833755,29
"KEGG_COLORECTAL_CANCER",0.930434782608696,0.980923491742501,0.132147260608774,-0.203381887314896,-0.78581160775671,62
"KEGG_COMPLEMENT_AND_COAGULATION_CASCADES",0.412844036697248,0.630862797649727,0.211400189384923,-0.268255123889338,-1.03868818943723,66
