"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","176/2364","323/7713",0.544891640866873,1.77781270135626,9.49347082971133,8.58562620186649e-20,3.00496917065327e-17,2.57568786055995e-17,"2906/9340/3352/8862/2563/2904/5021/27346/64106/2899/5697/90226/5028/4828/6865/9934/1908/5023/2150/5025/1902/6752/140/100506013/66004/3814/5734/1907/7349/2901/6750/117/2564/7432/116443/387129/6755/553/1268/5645/5030/7068/7433/22953/185/4887/10874/10022/286530/5539/154/1511/5644/624/4852/183/1909/623/1910/10800/2893/2147/2690/2908/3360/796/1241/5745/283869/3363/84634/2568/148/1138/1134/4157/2151/7425/7434/1813/1269/2587/6753/6344/3953/150/2925/1901/1136/53637/2918/3060/5029/2912/5368/1132/100996758/1143/2922/130576/5179/6751/56923/147/3001/1129/51289/4886/27334/155/80763/2903/10316/56413/152/116444/5540/2892/2890/6869/3972/8973/57105/6019/53829/2560/2641/1144/4985/5729/4142/1146/2566/165829/2898/3827/84539/2914/1816/4889/114131/3358/2565/4543/153/57152/3952/2891/5020/2358/5617/51083/4159/116/2556/2797/1081/2897/89832/2569/2831/2798/4988/186/4923/2557/7201/886/2741/797/2692/2834/23620/2911/3375/2915",176
NA,NA,"hsa04382","Cornified envelope formation","97/2364","179/7713",0.541899441340782,1.76805008082126,6.91152995075186,3.11436588172043e-11,4.2248901745163e-09,3.62133443529969e-09,"144501/9076/25984/137075/9075/6273/3854/3872/6282/1294/51099/9119/11240/5317/1830/5523/147409/3853/54474/10686/3868/51208/6703/3855/28227/23562/51702/6699/6698/6700/2125/26154/9073/2053/59344/3889/1828/3866/7122/9080/5521/1366/5010/1288/3857/29943/6274/286887/6707/6785/342574/79852/3852/6276/6278/1282/192666/9074/3848/6271/3851/8688/3881/3882/3860/5522/6704/3886/3713/7051/3859/353135/3885/55304/1308/49861/8687/125115/1287/121391/196374/1041/3850/8689/7062/9071/147183/3891/149461/388697/3890/3887/390792/388698/112802/23581/6705",97
NA,NA,"hsa04082","Neuroactive ligand signaling","101/2364","189/7713",0.534391534391534,1.74355410522923,6.88002524809555,3.62133443529969e-11,4.2248901745163e-09,3.62133443529969e-09,"2906/3352/2767/2563/57030/2904/115/2899/2788/5028/2775/6865/9934/5023/5025/246213/111/54331/140/63910/5567/2901/55970/2564/5579/116443/1103/6536/5030/22953/64805/5582/6505/154/108/2893/2770/109/94235/60482/3360/3363/2568/148/1813/285242/2790/2786/150/2774/1136/2918/5029/2792/2912/5368/1132/3359/1143/5179/147/1129/2791/9177/6571/2903/6529/152/5332/116444/2892/2890/6869/8973/53829/2560/6572/4985/6531/51764/2566/2898/2914/1816/3358/2565/153/170572/2891/4159/2556/140679/2897/89832/2569/4988/2557/181/2741/2911/2915",101
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","129/2364","261/7713",0.494252873563218,1.61259408366883,6.69310404653994,8.81901232742382e-11,7.71663578649584e-09,6.61425924556786e-09,"3624/3570/51330/9518/651/3589/2921/3977/6374/8744/6368/6387/8743/2919/9966/5473/268/51561/3976/650/3576/23495/8795/94/608/655/284340/3552/285613/2920/1437/768211/1271/3603/56477/53832/10913/83729/11009/652/84957/654/653/729230/6359/2690/1237/6358/6355/27189/6357/3557/6372/2826/939/6373/5008/3625/1524/8742/4982/10344/3572/355/3953/10148/8600/6369/7850/1435/115650/6366/3587/1440/643/6363/27190/1436/27177/338376/6846/130399/4804/26525/6364/7292/6348/10803/3568/959/6352/3605/6356/2660/920/3623/5196/1439/3553/4050/1236/6360/56300/970/4838/10563/51554/3598/269/4803/112744/50604/6349/3586/55504/8808/2829/6375/27178/3952/3596/8794/5617/2056/8200/392255/3567/56832/6346",129
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","120/2364","247/7713",0.48582995951417,1.58511272323722,6.2131948465851,1.57258974927144e-09,1.10081282449001e-07,9.43553849562863e-08,"2906/5333/51196/4233/2767/2277/6786/2904/4638/5021/115/9965/6865/7422/493/5023/84812/5025/2185/5350/100130933/5567/113026/5579/116443/845/5336/553/22953/5582/26281/2263/844/185/154/80310/624/6263/8912/5255/490/1909/623/108/492/1910/10800/8817/109/2668/6543/3360/4485/489/3363/8877/4842/148/5137/6546/776/255231/2255/5136/3270/6547/2774/2925/2248/3706/2264/814/487/147/1129/2253/2260/3708/155/57118/5156/2769/2903/56413/810/5332/116444/491/6869/2247/8822/57105/815/163688/5153/4916/775/8074/6588/2254/4803/26291/1816/952/3358/153/2252/7125/100507027/51806/777/89832/2249/4923/7201/2066/886/10345/2911/2915",120
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","57/2364","97/7713",0.587628865979381,1.9172510335444,6.04340301396401,7.72044899123976e-09,4.50359524488986e-07,3.86022449561988e-07,"1300/1301/206358/4225/1294/477/6550/340024/1277/482/5645/6520/6505/4224/1299/5644/81578/85301/1303/6543/6510/1290/3783/1288/1289/6564/6546/1359/6547/23436/1278/1310/1295/169044/1361/91522/8645/256076/7512/1282/50509/7373/340267/1281/131873/136227/1308/3769/1287/1297/1298/1360/1302/11136/153201/57642/63036",57
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","109/2364","228/7713",0.478070175438596,1.55979495057441,5.70389399263898,2.71566260912556e-08,1.35783130456278e-06,1.16385540391096e-06,"1301/6712/1465/10529/1311/6641/2273/8736/10398/288/11155/81624/270/4629/7137/477/72/25802/8516/7169/51332/287/2318/271/7168/171024/23500/1824/633/1277/7138/482/7111/3673/284217/3679/6445/1299/114793/4703/343263/7414/1674/84823/1756/27295/161176/85301/22989/6442/1290/8910/8082/22801/1634/1288/7058/127294/56776/1289/64236/84665/2192/375790/4622/1278/7139/3690/256076/4607/165904/1462/1282/50509/3695/57159/23345/7140/3696/1281/57644/27063/4606/131873/1837/29767/4892/2199/1158/84675/7060/29895/1287/1297/1298/91977/57731/4624/4608/7125/8557/84467/4633/9499/1302/4620/84676/8048/7273",109
"Organismal Systems","Digestive system","hsa04970","Salivary secretion","51/2364","86/7713",0.593023255813954,1.93485125723055,5.79543202681125,3.11339982261907e-08,1.36211242239584e-06,1.16752493348215e-06,"1469/5593/1470/115/1472/477/493/111/6548/4025/482/362/5567/5579/3778/6558/4586/5582/6844/54831/154/6263/490/108/492/109/3783/4842/148/1473/147/3708/155/683/810/5332/491/5592/163688/5555/5554/4069/653247/2982/820/55503/952/153/5542/51806/4589",51
NA,NA,"hsa04081","Hormone signaling","94/2364","196/7713",0.479591836734694,1.56475966020926,5.32402855875858,2.05565035792527e-07,7.99419583637604e-06,6.85216785975089e-06,"5593/2980/2767/5021/2981/115/2788/90226/2775/268/111/54331/6752/3481/5567/7349/55970/6750/7432/10672/6755/553/7068/7433/1734/4881/185/154/183/2852/108/2770/109/94235/2690/796/5745/4842/148/4157/7434/1813/6753/2790/2786/3953/150/3060/2792/3690/5368/2520/341208/5179/6751/147/2791/155/2769/152/5332/3479/5592/3972/57817/2641/5296/4985/53919/51764/269/84539/1816/114131/153/3952/5020/4883/5617/4159/2056/2797/1081/4880/2798/4988/186/7201/886/797/2692/2834/9370/3375",94
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","52/2364","96/7713",0.541666666666667,1.76729060913706,5.02891701607707,1.23164168796353e-06,4.31074590787235e-05,3.69492506389059e-05,"3570/2921/6374/6368/6387/8743/2919/5473/3576/8795/2920/56477/53832/11009/729230/6359/1237/6358/6355/6357/6372/2826/6373/1524/10344/3572/6369/1435/6366/3587/643/6363/1436/6846/6364/6348/10803/6352/6356/5196/1236/6360/10563/51554/50604/6349/3586/2829/6375/27178/8794/6346",52
